Tanggal,mata uang,jumlah,harga,total
18/1/2023,MYR,100,3225,322500
18/1/2023,MYR,200,3225,645000
20/1/2023,MYR,3050,3530,10766500
21/1/2023,MYR,760,3225,2451000
21/1/2023,MYR,100,3225,322500
21/1/2023,MYR,500,3225,1612500
21/1/2023,MYR,200,3300,660000
21/1/2023,MYR,250,3225,806250
23/1/2023,MYR,200,3300,660000
23/1/2023,MYR,500,3225,1612500
27/1/2023,MYR,700,3225,2257500
31/1/2023,MYR,150,3225,483750
31/1/2023,MYR,150,3300,495000
31/1/2023,MYR,80,3000,240000
1/2/2023,MYR,1000,3225,3225000
1/2/2023,MYR,250,3300,825000
1/2/2023,MYR,10,3000,30000
1/2/2023,MYR,1000,3225,3225000
2/2/2023,MYR,200,3225,645000
3/2/2023,MYR,50,3225,161250
3/2/2023,MYR,35,3000,105000
3/2/2023,MYR,5,2500,12500
3/2/2023,MYR,50,3300,165000
3/2/2023,MYR,20,3000,60000
3/2/2023,MYR,3,2500,7500
8/2/2023,MYR,1000,3278,3278000
8/2/2023,MYR,50,3300,165000
8/2/2023,MYR,25,3000,75000
8/2/2023,MYR,4,2500,10000
9/2/2023,MYR,1000,3280,3280000
9/2/2023,MYR,500,3300,1650000
10/2/2023,MYR,1400,3400,4760000
10/2/2023,MYR,10,3000,30000
13/2/2023,MYR,500,3300,1650000
13/2/2023,MYR,40,3200,128000
20/2/2023,MYR,50,3300,165000
20/2/2023,MYR,200,3300,660000
20/2/2023,MYR,15,3000,45000
20/2/2023,MYR,1,2500,2500
20/2/2023,MYR,450,3300,1485000
22/2/2023,MYR,400,3278,1311200
24/2/2023,MYR,100,3225,322500
24/2/2023,MYR,700,3225,2257500
26/3/2023,MYR,1000,3278,3278000
26/3/2023,MYR,650,3225,2096250
27/2/2023,MYR,200,3225,645000
27/2/2023,MYR,1000,3225,3225000
27/2/2023,MYR,1000,3225,3225000
27/2/2023,MYR,1000,3225,3225000
27/2/2023,MYR,200,3225,645000
1/3/2023,MYR,400,3300,1320000
1/3/2023,MYR,150,3300,495000
2/3/2023,MYR,100,3300,330000
2/3/2023,MYR,50,3000,150000
2/3/2023,MYR,300,3300,990000
3/3/2023,MYR,200,3225,645000
4/3/2023,MYR,100,3225,322500
4/3/2023,MYR,300,3300,990000
4/3/2023,MYR,40,3000,120000
5/3/2023,MYR,150,3300,495000
5/3/2023,MYR,50,3000,150000
5/3/2023,MYR,50,3300,165000
5/3/2023,MYR,50,3000,150000
6/3/2023,MYR,50,3300,165000
6/3/2023,MYR,50,3300,165000
6/3/2023,MYR,130,3000,390000
6/3/2023,MYR,100,3300,330000
6/3/2023,MYR,30,3000,90000
6/3/2023,MYR,50,3300,165000
6/3/2023,MYR,2000,3225,6450000
7/3/2023,MYR,250,3300,825000
7/3/2023,MYR,35,3000,105000
7/3/2023,MYR,1,2500,2500
7/3/2023,MYR,250,3225,806250
7/3/2023,MYR,2,2500,5000
7/3/2023,MYR,50,3300,165000
7/3/2023,MYR,30,3000,90000
8/3/2023,MYR,100,3300,330000
8/3/2023,MYR,300,3225,967500
8/3/2023,MYR,50,3300,165000
8/3/2023,MYR,50,3300,165000
8/3/2023,MYR,15,3000,45000
8/3/2023,MYR,4,2500,10000
8/3/2023,MYR,150,3300,495000
8/3/2023,MYR,30,3000,90000
8/3/2023,MYR,6,2500,15000
9/3/2023,MYR,200,3225,645000
10/3/2023,MYR,50,3300,165000
10/3/2023,MYR,4,2500,10000
11/3/2023,MYR,50,3300,165000
13/3/2023,MYR,550,3300,1815000
13/3/2023,MYR,60,3000,180000
13/3/2023,MYR,3,2500,7500
14/3/2023,MYR,450,3300,1485000
14/3/2023,MYR,9,2500,22500
16/3/2023,MYR,300,3225,967500
16/3/2023,MYR,100,3300,330000
20/3/2023,MYR,100,3300,330000
27/3/2023,MYR,50,3300,165000
27/3/2023,MYR,35,3000,105000
27/3/2023,MYR,6,2500,15000
2/5/2023,MYR,300,3125,937500
4/5/2023,MYR,4000,3225,12900000
4/5/2023,MYR,150,3250,487500
4/5/2023,MYR,100,3250,325000
4/5/2023,MYR,20,3000,60000
4/5/2023,MYR,150,3250,487500
6/5/2023,MYR,100,3250,325000
6/5/2023,MYR,250,3250,812500
6/5/2023,MYR,5,3000,15000
9/5/2023,MYR,40,3000,120000
9/5/2023,MYR,10,2500,25000
9/5/2023,MYR,50,3200,160000
11/5/2023,MYR,50,3250,162500
13/5/2023,MYR,100,3125,312500
13/5/2023,MYR,200,3125,625000
13/5/2023,MYR,100,3125,312500
15/5/2023,MYR,150,3250,487500
15/5/2023,MYR,25,3000,75000
15/5/2023,MYR,250,3125,781250
16/5/2023,MYR,50,3250,162500
16/5/2023,MYR,210,3125,656250
16/5/2023,MYR,50,3250,162500
16/5/2023,MYR,40,3000,120000
16/5/2023,MYR,5,2500,12500
16/5/2023,MYR,700,3125,2187500
22/5/2023,MYR,200,3125,625000
22/5/2023,MYR,100,3125,312500
22/5/2023,MYR,100,3125,312500
22/5/2023,MYR,50,3125,156250
22/5/2023,MYR,100,3125,312500
22/5/2023,MYR,100,3125,312500
24/5/2023,MYR,1000,3125,3125000
26/5/2023,MYR,450,3200,1440000
27/5/2023,MYR,150,3105,465750
27/5/2023,MYR,50,3200,160000
27/5/2023,MYR,10,3000,30000
28/5/2023,MYR,500,3105,1552500
31/5/2023,MYR,250,3200,800000
31/5/2023,MYR,10,3000,30000
31/5/2023,MYR,200,3200,640000
31/5/2023,MYR,30,3000,90000
31/5/2023,MYR,100,3200,320000
5/6/2023,MYR,800,3200,2560000
5/6/2023,MYR,50,3200,160000
5/6/2023,MYR,30,3000,90000
5/6/2023,MYR,2,2500,5000
6/6/2023,MYR,150,3200,480000
6/6/2023,MYR,5,3000,15000
6/6/2023,MYR,4,2500,10000
6/6/2023,MYR,200,3200,640000
6/6/2023,MYR,20,3000,60000
7/6/2023,MYR,150,3200,480000
8/6/2023,MYR,500,3075,1537500
10/6/2023,MYR,500,3075,1537500
10/6/2023,MYR,300,3075,922500
13/6/2023,MYR,200,3075,615000
13/6/2023,MYR,100,3075,307500
13/6/2023,MYR,200,3075,615000
13/6/2023,MYR,100,3075,307500
16/6/2023,MYR,100,3075,307500
16/6/2023,MYR,100,3075,307500
