Tanggal,MataUang,Jumlah,Harga,Total,JenisTransaksi
2025-03-01,BND,200,11500,2300000,beli
2025-03-01,SAR,375,4100,1537500,beli
2025-03-01,BND,300,11700,3510000,beli
2025-03-01,MYR,3000,3720,11160000,jual
2025-03-03,SAR,700,4100,2870000,beli
2025-03-03,MYR,381,3700,1409700,jual
2025-03-04,MYR,100,3450,345000,beli
2025-03-04,MYR,50,3100,155000,beli
2025-03-05,MYR,100,3500,350000,beli
2025-03-05,BND,600,11500,6900000,beli
2025-03-06,THB,6000,486,2916000,beli
2025-03-06,BND,1100,12200,13420000,jual
2025-03-06,MYR,100,3500,350000,beli
2025-03-06,MYR,50,3100,155000,beli
2025-03-06,SGD,6,10000,60000,beli
2025-03-06,THB,7000,493,3451000,jual
2025-03-07,MYR,600,3500,2100000,beli
2025-03-07,MYR,35,3200,112000,beli
2025-03-07,MYR,2,2500,5000,beli
2025-03-07,SGD,5,10000,50000,beli
2025-03-07,SGD,1000,11600,11600000,beli
2025-03-07,SGD,1000,12660,12660000,jual
2025-03-08,MYR,3000,3710,11130000,jual
2025-03-10,MYR,4050,3720,15066000,jual
2025-03-10,MYR,150,3450,517500,beli
2025-03-10,MYR,50,3100,155000,beli
2025-03-10,MYR,7,2500,17500,beli
2025-03-11,SAR,505,4100,2070500,beli
2025-03-11,SAR,340,4100,1394000,beli
2025-03-13,MYR,1500,3450,5175000,beli
2025-03-14,MYR,1500,3450,5175000,beli
2025-03-15,MYR,3000,3720,11160000,jual
2025-03-15,MYR,300,3500,1050000,beli
2025-03-15,MYR,20,3100,62000,beli
2025-03-16,MYR,1500,4100,6150000,beli
2025-03-17,MYR,3000,3715,11145000,jual
2025-03-17,MYR,200,3500,700000,beli
2025-03-17,MYR,800,3715,2972000,jual
2025-03-20,THB,15000,505,7575000,jual
2025-03-20,THB,14000,493.5,6909000,beli
2025-03-22,MYR,3000,3760,11280000,jual
2025-03-22,MYR,3000,3760,11280000,jual
2025-03-22,MYR,300,3500,1050000,beli
2025-03-22,USD,2000,15650,31300000,beli
2025-03-24,MYR,12000,3780,45360000,jual
2025-03-24,MYR,14000,3745,52430000,beli
2025-03-24,HKD,4500,2141,9634500,beli
2025-03-24,THB,20000,492.2,9844000,beli
2025-03-24,USD,2000,16525,33050000,jual
2025-03-24,SGD,2000,12365,24730000,jual
2025-03-24,USD,200,16510,3302000,jual
2025-03-24,MYR,1600,3450,5520000,beli
2025-03-24,SAR,1300,4600,5980000,jual
2025-03-24,HKD,4500,2150,9675000,jual
2025-03-24,SGD,1000,11700,11700000,beli
2025-03-24,SGD,1000,11800,11800000,beli
2025-03-24,THB,20080,498,9999840,jual
2025-03-25,THB,3140,450,1413000,beli
2025-03-26,THB,10040,498,4999920,jual
2025-02-01,MYR,400,3400,1360000,beli
2025-02-01,MYR,600,3400,2040000,beli
2025-02-01,SGD,300,11500,3450000,beli
2025-02-01,MYR,100,3400,340000,beli
2025-02-01,MYR,200,3400,680000,beli
2025-02-01,MYR,200,3400,680000,beli
2025-02-01,MYR,500,3400,1700000,beli
2025-02-03,MYR,100,3450,345000,beli
2025-02-03,MYR,75,3100,232500,beli
2025-02-03,MYR,500,3450,1725000,beli
2025-02-03,MYR,250,3400,850000,beli
2025-02-04,USD,100,16000,1600000,beli
2025-02-04,USD,60,15500,930000,beli
2025-02-04,MYR,500,3400,1700000,beli
2025-02-04,MYR,500,3400,1700000,beli
